"country","year","currency","inflation","stockmarket","domdebt","extdebt","banking"
"Canada",1953,0,0,0,0,0,0
"Canada",1954,0,0,0,0,0,0
"Canada",1955,0,0,0,0,0,0
"Canada",1956,0,0,0,0,0,0
"Canada",1957,0,0,0,0,0,0
"Canada",1958,0,0,0,0,0,0
"Canada",1959,0,0,0,0,0,0
"Canada",1960,0,0,0,0,0,0
"Canada",1961,0,0,0,0,0,0
"Canada",1962,0,0,0,0,0,0
"Canada",1963,0,0,0,0,0,0
"Canada",1964,0,0,0,0,0,0
"Canada",1965,0,0,0,0,0,0
"Canada",1966,0,0,0,0,0,0
"Canada",1967,0,0,0,0,0,0
"Canada",1968,0,0,0,0,0,0
"Canada",1969,0,0,0,0,0,0
"Canada",1970,0,0,0,0,0,0
"Canada",1971,0,0,0,0,0,0
"Canada",1972,0,0,0,0,0,0
"Canada",1973,0,0,1,0,0,0
"Canada",1974,0,0,1,0,0,0
"Canada",1975,0,0,0,0,0,0
"Canada",1976,0,0,0,0,0,0
"Canada",1977,0,0,0,0,0,0
"Canada",1978,0,0,0,0,0,0
"Canada",1979,0,0,0,0,0,0
"Canada",1980,0,0,0,0,0,0
"Canada",1981,0,0,0,0,0,0
"Canada",1982,0,0,0,0,0,0
"Canada",1983,0,0,0,0,0,1
"Canada",1984,0,0,0,0,0,1
"Canada",1985,0,0,0,0,0,1
"Canada",1986,0,0,0,0,0,0
"Canada",1987,0,0,0,0,0,0
"Canada",1988,0,0,0,0,0,0
"Canada",1989,0,0,0,0,0,0
"Canada",1990,0,0,0,0,0,0
"Canada",1991,0,0,0,0,0,0
"Canada",1992,0,0,0,0,0,0
"Canada",1993,0,0,0,0,0,0
"Canada",1994,0,0,0,0,0,0
"Canada",1995,0,0,0,0,0,0
"Canada",1996,0,0,0,0,0,0
"Canada",1997,0,0,0,0,0,0
"Canada",1998,0,0,0,0,0,0
"Canada",1999,0,0,0,0,0,0
"Canada",2000,0,0,0,0,0,0
"Canada",2001,0,0,1,0,0,0
"Dominican Rep.",1844,0,0,NA,0,0,0
"Dominican Rep.",1845,0,0,NA,0,0,0
"Dominican Rep.",1846,0,0,NA,0,0,0
"Dominican Rep.",1847,0,0,NA,0,0,0
"Dominican Rep.",1848,0,0,NA,0,0,0
"Dominican Rep.",1849,0,0,NA,0,0,0
"Dominican Rep.",1850,0,0,NA,0,0,0
"Dominican Rep.",1851,0,0,NA,0,0,0
"Dominican Rep.",1852,0,0,NA,0,0,0
"Dominican Rep.",1853,0,0,NA,0,0,0
"Dominican Rep.",1854,0,0,NA,0,0,0
"Dominican Rep.",1855,0,0,NA,0,0,0
"Dominican Rep.",1856,0,0,NA,0,0,0
"Dominican Rep.",1857,0,0,NA,0,0,0
"Dominican Rep.",1858,0,0,NA,0,0,0
"Dominican Rep.",1859,0,0,NA,0,0,0
"Dominican Rep.",1860,0,0,NA,0,0,0
"Dominican Rep.",1861,0,0,NA,0,0,0
"Dominican Rep.",1862,0,0,NA,0,0,0
"Dominican Rep.",1863,0,0,NA,0,0,0
"Dominican Rep.",1864,0,0,NA,0,0,0
"Dominican Rep.",1865,0,0,NA,0,0,0
"Dominican Rep.",1866,0,0,NA,0,0,0
"Dominican Rep.",1867,0,0,NA,0,0,0
"Dominican Rep.",1868,0,0,NA,0,0,0
"Dominican Rep.",1869,0,0,NA,0,0,0
"Dominican Rep.",1870,0,0,NA,0,0,0
"Dominican Rep.",1871,0,0,NA,0,0,0
"Dominican Rep.",1872,0,0,NA,0,1,0
"Dominican Rep.",1873,0,0,NA,0,1,0
"Dominican Rep.",1874,0,0,NA,0,1,0
"Dominican Rep.",1875,0,0,NA,0,1,0
"Dominican Rep.",1876,0,0,NA,0,1,0
"Dominican Rep.",1877,0,0,NA,0,1,0
"Dominican Rep.",1878,0,0,NA,0,1,0
"Dominican Rep.",1879,0,0,NA,0,1,0
"Dominican Rep.",1880,0,0,NA,0,1,0
"Dominican Rep.",1881,0,0,NA,0,1,0
"Dominican Rep.",1882,0,0,NA,0,1,0
"Dominican Rep.",1883,0,0,NA,0,1,0
"Dominican Rep.",1884,0,0,NA,0,1,0
"Dominican Rep.",1885,0,0,NA,0,1,0
"Dominican Rep.",1886,0,0,NA,0,1,0
"Dominican Rep.",1887,0,0,NA,0,1,0
"Dominican Rep.",1888,0,0,NA,0,1,0
"Dominican Rep.",1889,0,0,NA,0,0,0
"Dominican Rep.",1890,0,0,NA,0,0,0
"Dominican Rep.",1891,0,0,NA,0,0,0
"Dominican Rep.",1892,0,0,NA,0,1,0
"Dominican Rep.",1893,0,0,NA,0,1,0
"Dominican Rep.",1894,0,0,NA,0,0,0
"Dominican Rep.",1895,0,0,NA,0,0,0
"Dominican Rep.",1896,0,0,NA,0,0,0
"Dominican Rep.",1897,0,0,NA,0,1,0
"Dominican Rep.",1898,0,0,NA,0,0,0
"Dominican Rep.",1899,0,0,NA,0,1,0
"Dominican Rep.",1900,0,0,NA,0,1,0
"Dominican Rep.",1901,0,0,NA,0,1,0
"Dominican Rep.",1902,0,0,NA,0,1,0
"Dominican Rep.",1903,0,0,NA,0,1,0
"Dominican Rep.",1904,0,0,NA,0,1,0
"Dominican Rep.",1905,0,0,NA,0,1,0
"Dominican Rep.",1906,0,0,NA,0,1,0
"Dominican Rep.",1907,0,0,NA,0,1,0
"Dominican Rep.",1908,0,0,NA,0,0,0
"Dominican Rep.",1909,0,0,NA,0,0,0
"Dominican Rep.",1910,0,0,NA,0,0,0
"Dominican Rep.",1911,0,0,NA,0,0,0
"Dominican Rep.",1912,0,0,NA,0,0,0
"Dominican Rep.",1913,0,0,NA,0,0,0
"Dominican Rep.",1914,0,0,NA,0,0,0
"Dominican Rep.",1915,0,0,NA,0,0,0
"Dominican Rep.",1916,0,0,NA,0,0,0
"Dominican Rep.",1917,0,0,NA,0,0,0
"Dominican Rep.",1918,0,0,NA,0,0,0
"Dominican Rep.",1919,0,0,NA,0,0,0
"Dominican Rep.",1920,0,0,NA,0,0,0
"Dominican Rep.",1921,0,0,NA,0,0,0
"Dominican Rep.",1922,0,0,NA,0,0,0
"Dominican Rep.",1923,0,0,NA,0,0,0
"Dominican Rep.",1924,0,0,NA,0,0,0
"Dominican Rep.",1925,0,0,NA,0,0,0
"Dominican Rep.",1926,0,0,NA,0,0,0
"Dominican Rep.",1927,0,0,NA,0,0,0
"Dominican Rep.",1928,0,0,NA,0,0,0
"Dominican Rep.",1929,0,0,NA,0,0,0
"Dominican Rep.",1930,0,0,NA,0,0,0
"Dominican Rep.",1931,0,0,NA,0,1,0
"Dominican Rep.",1932,0,0,NA,0,1,0
"Dominican Rep.",1933,0,0,NA,0,1,0
"Dominican Rep.",1934,0,0,NA,0,1,0
"Dominican Rep.",1935,0,0,NA,0,0,0
"Dominican Rep.",1936,0,0,NA,0,0,0
"Dominican Rep.",1937,0,0,NA,0,0,0
"Dominican Rep.",1938,0,0,NA,0,0,0
"Dominican Rep.",1939,0,0,NA,0,0,0
"Dominican Rep.",1940,0,0,NA,0,0,0
"Dominican Rep.",1941,0,0,NA,0,0,0
"Dominican Rep.",1942,0,0,NA,0,0,0
"Dominican Rep.",1943,0,1,NA,0,0,0
"Dominican Rep.",1944,0,1,NA,0,0,0
"Dominican Rep.",1945,0,0,NA,0,0,0
"Dominican Rep.",1946,0,0,NA,0,0,0
"Dominican Rep.",1947,0,0,NA,0,0,0
